15	11	E	-9522163.910623983	127
transitionprobs	14	12	0.0
transitionprobs	14	13	0.03418469978968031
transitionprobs	14	14	0.9523903545759068
transitionprobs	14	15	0.009088088824101
transitionprobs	15	1	0.0015296833254570311
transitionprobs	15	2	3.4086575797223894E-4
transitionprobs	15	3	1.980274077415837E-5
transitionprobs	15	4	5.496828912053044E-5
transitionprobs	15	5	5.058486329747276E-6
transitionprobs	15	6	5.188039985988044E-6
transitionprobs	15	7	0.0016581877094423588
transitionprobs	15	8	0.003911326491154774
transitionprobs	15	9	9.346975779392096E-7
transitionprobs	15	10	1.2783178950229174E-4
transitionprobs	15	11	0.0011600593762402145
transitionprobs	15	12	0.024074223587535415
transitionprobs	15	13	0.556649015407475
transitionprobs	15	14	0.03130068516209916
transitionprobs	15	15	0.3791621691393332
emissionprobs	1	0	H3K27ac	0	0.870380571725139
emissionprobs	1	0	H3K27ac	1	0.12961942827486092
emissionprobs	1	1	H3K27me3	0	0.7447165501130307
emissionprobs	1	1	H3K27me3	1	0.2552834498869692
emissionprobs	1	2	H3K36me3	0	0.9974210027710471
emissionprobs	1	2	H3K36me3	1	0.002578997228952909
emissionprobs	1	3	H3K4me1	0	0.7945195188950246
emissionprobs	1	3	H3K4me1	1	0.20548048110497538
emissionprobs	1	4	H3K4me2	0	0.2180296835049963
emissionprobs	1	4	H3K4me2	1	0.7819703164950037
emissionprobs	1	5	H3K4me3	0	0.5389081149891751
emissionprobs	1	5	H3K4me3	1	0.4610918850108249
emissionprobs	1	6	H3K79me2	0	0.9914294904844174
emissionprobs	1	6	H3K79me2	1	0.0085705095155826
emissionprobs	1	7	H3K9ac	0	0.9077703615117252
emissionprobs	1	7	H3K9ac	1	0.09222963848827485
emissionprobs	1	8	H3K9me	0	0.9717759775582635
emissionprobs	1	8	H3K9me	1	0.028224022441736486
emissionprobs	1	9	H3K9me3	0	0.9717759775582635
emissionprobs	1	9	H3K9me3	1	0.028224022441736486
emissionprobs	1	10	H4K20me1	0	0.9856094925847446
emissionprobs	1	10	H4K20me1	1	0.014390507415255464
emissionprobs	2	0	H3K27ac	0	0.9028801869473858
emissionprobs	2	0	H3K27ac	1	0.09711981305261427
emissionprobs	2	1	H3K27me3	0	0.9986847263834465
emissionprobs	2	1	H3K27me3	1	0.0013152736165534847
emissionprobs	2	2	H3K36me3	0	0.9933999659954704
emissionprobs	2	2	H3K36me3	1	0.0066000340045296365
emissionprobs	2	3	H3K4me1	0	0.13505483063680485
emissionprobs	2	3	H3K4me1	1	0.8649451693631951
emissionprobs	2	4	H3K4me2	0	0.06067363028737968
emissionprobs	2	4	H3K4me2	1	0.9393263697126203
emissionprobs	2	5	H3K4me3	0	0.7971132010025553
emissionprobs	2	5	H3K4me3	1	0.20288679899744472
emissionprobs	2	6	H3K79me2	0	0.9842041867207936
emissionprobs	2	6	H3K79me2	1	0.015795813279206476
emissionprobs	2	7	H3K9ac	0	0.8378230086952472
emissionprobs	2	7	H3K9ac	1	0.16217699130475285
emissionprobs	2	8	H3K9me	0	1.0
emissionprobs	2	8	H3K9me	1	0.0
emissionprobs	2	9	H3K9me3	0	1.0
emissionprobs	2	9	H3K9me3	1	0.0
emissionprobs	2	10	H4K20me1	0	0.9947850375874611
emissionprobs	2	10	H4K20me1	1	0.005214962412538999
emissionprobs	3	0	H3K27ac	0	0.11413347389180868
emissionprobs	3	0	H3K27ac	1	0.8858665261081914
emissionprobs	3	1	H3K27me3	0	0.9977797071408187
emissionprobs	3	1	H3K27me3	1	0.0022202928591812834
emissionprobs	3	2	H3K36me3	0	0.9875777190741724
emissionprobs	3	2	H3K36me3	1	0.012422280925827698
emissionprobs	3	3	H3K4me1	0	0.05139836938440338
emissionprobs	3	3	H3K4me1	1	0.9486016306155965
emissionprobs	3	4	H3K4me2	0	0.0010793587094621426
emissionprobs	3	4	H3K4me2	1	0.9989206412905379
emissionprobs	3	5	H3K4me3	0	0.22774060466929197
emissionprobs	3	5	H3K4me3	1	0.7722593953307081
emissionprobs	3	6	H3K79me2	0	0.9483081231582947
emissionprobs	3	6	H3K79me2	1	0.05169187684170523
emissionprobs	3	7	H3K9ac	0	0.036320497339346246
emissionprobs	3	7	H3K9ac	1	0.9636795026606537
emissionprobs	3	8	H3K9me	0	1.0
emissionprobs	3	8	H3K9me	1	0.0
emissionprobs	3	9	H3K9me3	0	1.0
emissionprobs	3	9	H3K9me3	1	0.0
emissionprobs	3	10	H4K20me1	0	0.9960717480316857
emissionprobs	3	10	H4K20me1	1	0.00392825196831421
emissionprobs	4	0	H3K27ac	0	0.021160869136528683
emissionprobs	4	0	H3K27ac	1	0.9788391308634713
emissionprobs	4	1	H3K27me3	0	0.9720655010322171
emissionprobs	4	1	H3K27me3	1	0.027934498967782873
emissionprobs	4	2	H3K36me3	0	0.9992348045397392
emissionprobs	4	2	H3K36me3	1	7.651954602606784E-4
emissionprobs	4	3	H3K4me1	0	0.9547000786090669
emissionprobs	4	3	H3K4me1	1	0.04529992139093305
emissionprobs	4	4	H3K4me2	0	0.19315699922456228
emissionprobs	4	4	H3K4me2	1	0.8068430007754378
emissionprobs	4	5	H3K4me3	0	0.016912046245918935
emissionprobs	4	5	H3K4me3	1	0.9830879537540811
emissionprobs	4	6	H3K79me2	0	0.981717585262933
emissionprobs	4	6	H3K79me2	1	0.018282414737067057
emissionprobs	4	7	H3K9ac	0	0.039619018353523494
emissionprobs	4	7	H3K9ac	1	0.9603809816464765
emissionprobs	4	8	H3K9me	0	1.0
emissionprobs	4	8	H3K9me	1	0.0
emissionprobs	4	9	H3K9me3	0	1.0
emissionprobs	4	9	H3K9me3	1	0.0
emissionprobs	4	10	H4K20me1	0	0.9992695384592583
emissionprobs	4	10	H4K20me1	1	7.304615407417855E-4
emissionprobs	5	0	H3K27ac	0	0.007363814032258
emissionprobs	5	0	H3K27ac	1	0.9926361859677421
emissionprobs	5	1	H3K27me3	0	0.9982654224364211
emissionprobs	5	1	H3K27me3	1	0.0017345775635788931
emissionprobs	5	2	H3K36me3	0	0.9052347647084007
emissionprobs	5	2	H3K36me3	1	0.09476523529159935
emissionprobs	5	3	H3K4me1	0	0.9332463264934946
emissionprobs	5	3	H3K4me1	1	0.06675367350650552
emissionprobs	5	4	H3K4me2	0	0.05901604306556264
emissionprobs	5	4	H3K4me2	1	0.9409839569344374
emissionprobs	5	5	H3K4me3	0	3.911204448632688E-43
emissionprobs	5	5	H3K4me3	1	1.0
emissionprobs	5	6	H3K79me2	0	0.018113155471143217
emissionprobs	5	6	H3K79me2	1	0.9818868445288568
emissionprobs	5	7	H3K9ac	0	0.0011420632625533174
emissionprobs	5	7	H3K9ac	1	0.9988579367374467
emissionprobs	5	8	H3K9me	0	0.9938997726904314
emissionprobs	5	8	H3K9me	1	0.006100227309568675
emissionprobs	5	9	H3K9me3	0	0.9938997726904314
emissionprobs	5	9	H3K9me3	1	0.006100227309568675
emissionprobs	5	10	H4K20me1	0	0.9308630233282258
emissionprobs	5	10	H4K20me1	1	0.06913697667177422
emissionprobs	6	0	H3K27ac	0	0.25399011590078074
emissionprobs	6	0	H3K27ac	1	0.7460098840992192
emissionprobs	6	1	H3K27me3	0	0.9999748540522413
emissionprobs	6	1	H3K27me3	1	2.514594775860432E-5
emissionprobs	6	2	H3K36me3	0	0.7488278732916145
emissionprobs	6	2	H3K36me3	1	0.2511721267083855
emissionprobs	6	3	H3K4me1	0	0.06349432271552877
emissionprobs	6	3	H3K4me1	1	0.9365056772844712
emissionprobs	6	4	H3K4me2	0	0.02661977022302409
emissionprobs	6	4	H3K4me2	1	0.9733802297769759
emissionprobs	6	5	H3K4me3	0	0.26660320496413753
emissionprobs	6	5	H3K4me3	1	0.7333967950358624
emissionprobs	6	6	H3K79me2	0	0.03677706259295945
emissionprobs	6	6	H3K79me2	1	0.9632229374070406
emissionprobs	6	7	H3K9ac	0	0.15251581453375232
emissionprobs	6	7	H3K9ac	1	0.8474841854662476
emissionprobs	6	8	H3K9me	0	0.9910267686091561
emissionprobs	6	8	H3K9me	1	0.008973231390843862
emissionprobs	6	9	H3K9me3	0	0.9910267686091561
emissionprobs	6	9	H3K9me3	1	0.008973231390843862
emissionprobs	6	10	H4K20me1	0	0.8291491517879834
emissionprobs	6	10	H4K20me1	1	0.17085084821201652
emissionprobs	7	0	H3K27ac	0	0.5535203899524795
emissionprobs	7	0	H3K27ac	1	0.44647961004752035
emissionprobs	7	1	H3K27me3	0	0.9994198073161794
emissionprobs	7	1	H3K27me3	1	5.801926838206576E-4
emissionprobs	7	2	H3K36me3	0	0.8280432708343692
emissionprobs	7	2	H3K36me3	1	0.17195672916563082
emissionprobs	7	3	H3K4me1	0	0.0609537548214209
emissionprobs	7	3	H3K4me1	1	0.9390462451785792
emissionprobs	7	4	H3K4me2	0	0.7694694631537854
emissionprobs	7	4	H3K4me2	1	0.23053053684621455
emissionprobs	7	5	H3K4me3	0	0.9709103528589484
emissionprobs	7	5	H3K4me3	1	0.029089647141051455
emissionprobs	7	6	H3K79me2	0	0.9181272564709668
emissionprobs	7	6	H3K79me2	1	0.08187274352903326
emissionprobs	7	7	H3K9ac	0	0.49563593610223067
emissionprobs	7	7	H3K9ac	1	0.5043640638977693
emissionprobs	7	8	H3K9me	0	0.9322728014929941
emissionprobs	7	8	H3K9me	1	0.06772719850700591
emissionprobs	7	9	H3K9me3	0	0.9322728014929941
emissionprobs	7	9	H3K9me3	1	0.06772719850700591
emissionprobs	7	10	H4K20me1	0	0.9856221426690412
emissionprobs	7	10	H4K20me1	1	0.01437785733095869
emissionprobs	8	0	H3K27ac	0	0.9867382083561279
emissionprobs	8	0	H3K27ac	1	0.013261791643872103
emissionprobs	8	1	H3K27me3	0	0.9985854147599077
emissionprobs	8	1	H3K27me3	1	0.0014145852400923081
emissionprobs	8	2	H3K36me3	0	0.9903806202817526
emissionprobs	8	2	H3K36me3	1	0.009619379718247516
emissionprobs	8	3	H3K4me1	0	0.512990081303611
emissionprobs	8	3	H3K4me1	1	0.48700991869638904
emissionprobs	8	4	H3K4me2	0	0.9789994431477658
emissionprobs	8	4	H3K4me2	1	0.021000556852234245
emissionprobs	8	5	H3K4me3	0	0.9995705817772372
emissionprobs	8	5	H3K4me3	1	4.2941822276276216E-4
